size,levdam-lev,dam-lev-recdam-lev-rec-cash
1.5625e-06,1.5625e-06,1.5625e-06,3.125e-06
3.125e-06,3.125e-06,6.25e-06,6.25e-06
6.25e-06,6.25e-06,2.96875e-05,1.09375e-05
9.375e-06,9.375e-06,0.00015625,1.71875e-05
1.25e-05,1.25e-05,0.000859375,2.65625e-05
1.5625e-05,1.71875e-05,0.00453125,3.4375e-05
2.03125e-05,2.5e-05,0.02421875,4.53125e-05
2.65625e-05,2.96875e-05,0.132578125,5.78125e-05
2.96875e-05,3.90625e-05,0.731171875,7.1875e-05
3.75e-05,4.53125e-05,4.03921875,8.59375e-05
4.375e-05,5.46875e-05,22.17890625,0.0001015625
