𝛼,𝜌,Elites,Mistake
0.1,0.1,0,29
0.1,0.2,1,117
0.1,0.3,3,0
0.1,0.4,6,165
0.1,0.5,0,70
0.1,0.6,1,106
0.1,0.7,3,204
0.1,0.8,6,70
0.1,0.1,0,70
0.1,0.2,1,13
0.1,0.3,3,70
0.1,0.4,6,70
0.1,0.5,0,106
0.1,0.6,1,0
0.1,0.7,3,124
0.1,0.8,6,125
0.1,0.1,0,70
0.1,0.2,1,70
0.1,0.3,3,172
0.1,0.4,6,13
0.1,0.5,0,0
0.1,0.6,1,106
0.1,0.7,3,29
0.1,0.8,6,0
0.1,0.1,0,13
0.1,0.2,1,106
0.1,0.3,3,0
0.1,0.4,6,13
0.2,0.5,0,0
0.2,0.6,1,70
0.2,0.7,3,0
0.2,0.8,6,29
0.2,0.1,0,70
0.2,0.2,1,29
0.2,0.3,3,0
0.2,0.4,6,13
0.2,0.5,0,105
0.2,0.6,1,106
0.2,0.7,3,0
0.2,0.8,6,70
0.2,0.1,0,70
0.2,0.2,1,70
0.2,0.3,3,106
0.2,0.4,6,70
0.3,0.5,0,130
0.3,0.6,1,130
0.3,0.7,3,0
0.3,0.8,6,13
0.3,0.1,0,0
0.3,0.2,1,70
0.3,0.3,3,0
0.3,0.4,6,124
0.3,0.5,0,124
0.3,0.6,1,165
0.3,0.7,3,105
0.3,0.8,6,106
0.3,0.1,0,0
0.3,0.2,1,189
0.3,0.3,3,70
0.3,0.4,6,117
0.3,0.5,0,70
0.3,0.6,1,0
0.3,0.7,3,117
0.3,0.8,6,0
0.3,0.1,0,125
0.3,0.2,1,125
0.3,0.3,3,105
0.3,0.4,6,106
0.4,0.5,0,163
0.4,0.6,1,172
0.4,0.7,3,105
0.4,0.8,6,172
0.4,0.1,0,13
0.4,0.2,1,174
0.4,0.3,3,0
0.4,0.4,6,70
0.4,0.5,0,172
0.4,0.6,1,106
0.4,0.7,3,70
0.4,0.8,6,172
0.4,0.1,0,13
0.4,0.2,1,13
0.4,0.3,3,0
0.4,0.4,6,105
0.4,0.5,0,117
0.4,0.6,1,70
0.4,0.7,3,130
0.4,0.8,6,145
0.4,0.1,0,260
0.4,0.2,1,70
0.4,0.3,3,174
0.4,0.4,6,172
0.4,0.5,0,106
0.4,0.6,1,125
0.4,0.7,3,29
0.4,0.8,6,13
0.5,0.1,0,130
0.5,0.2,1,0
0.5,0.3,3,106
0.5,0.4,6,117
0.5,0.5,0,70
0.5,0.6,1,106
0.5,0.7,3,0
0.5,0.8,6,124
0.5,0.1,0,70
0.5,0.2,1,125
0.5,0.3,3,106
0.5,0.4,6,179
0.5,0.5,0,124
0.5,0.6,1,13
0.5,0.7,3,0
0.5,0.8,6,117
0.5,0.1,0,70
0.5,0.2,1,70
0.5,0.3,3,106
0.5,0.4,6,13
0.5,0.5,0,13
0.5,0.6,1,117
0.5,0.7,3,13
0.5,0.8,6,0
0.6,0.1,0,70
0.6,0.2,1,165
0.6,0.3,3,13
0.6,0.4,6,29
0.6,0.5,0,130
0.6,0.6,1,106
0.6,0.7,3,70
0.6,0.8,6,70
0.6,0.1,0,124
0.6,0.2,1,13
0.6,0.3,3,213
0.6,0.4,6,13
0.6,0.5,0,29
0.6,0.6,1,106
0.6,0.7,3,106
0.6,0.8,6,145
0.6,0.1,0,188
0.6,0.2,1,0
0.6,0.3,3,70
0.6,0.4,6,13
0.6,0.5,0,130
0.6,0.6,1,29
0.6,0.7,3,0
0.6,0.8,6,106
0.7,0.1,0,70
0.7,0.2,1,125
0.7,0.3,3,0
0.7,0.4,6,174
0.7,0.5,0,0
0.7,0.6,1,117
0.7,0.7,3,0
0.7,0.8,6,0
0.7,0.1,0,170
0.7,0.2,1,125
0.7,0.3,3,13
0.7,0.4,6,125
0.7,0.5,0,0
0.7,0.6,1,0
0.7,0.7,3,13
0.7,0.8,6,165
0.7,0.1,0,170
0.7,0.2,1,70
0.7,0.3,3,70
0.7,0.4,6,172
0.7,0.5,0,170
0.7,0.6,1,13
0.7,0.7,3,29
0.7,0.8,6,0
0.8,0.1,0,0
0.8,0.2,1,165
0.8,0.3,3,165
0.8,0.4,6,29
0.8,0.5,0,70
0.8,0.6,1,125
0.8,0.7,3,172
0.8,0.8,6,124
0.8,0.1,0,117
0.8,0.2,1,125
0.8,0.3,3,70
0.8,0.4,6,172
0.8,0.5,0,106
0.8,0.6,1,0
0.8,0.7,3,170
0.8,0.8,6,0
0.8,0.1,0,105
0.8,0.2,1,29
0.8,0.3,3,0
0.8,0.4,6,29
0.8,0.5,0,201
0.8,0.6,1,106
0.8,0.7,3,13
0.8,0.8,6,0
0.9,0.1,0,70
0.9,0.2,1,70
0.9,0.3,3,234
0.9,0.4,6,70
0.9,0.5,0,13
0.9,0.6,1,29
0.9,0.7,3,0
0.9,0.8,6,70
0.9,0.1,0,117
0.9,0.2,1,188
0.9,0.3,3,0
0.9,0.4,6,0
0.9,0.5,0,188
0.9,0.6,1,392
0.9,0.7,3,201
0.9,0.8,6,200
0.9,0.1,0,124
0.9,0.2,1,213
0.9,0.3,3,130
0.9,0.4,6,0
0.9,0.5,0,188
0.9,0.6,1,179
0.9,0.7,3,106
0.9,0.8,6,172
